,region,year,prep_temp_2m,prep_soil_temp_l1,prep_soil_water_vol_l1,prep_net_solar_radiation,prep_total_rain,plnt_temp_2m,plnt_soil_temp_l1,plnt_soil_water_vol_l1,plnt_net_solar_radiation,plnt_total_rain,grow_temp_2m,grow_soil_temp_l1,grow_soil_water_vol_l1,grow_net_solar_radiation,grow_total_rain,head_temp_2m,head_soil_temp_l1,head_soil_water_vol_l1,head_net_solar_radiation,head_total_rain,hvst_temp_2m,hvst_soil_temp_l1,hvst_soil_water_vol_l1,hvst_net_solar_radiation,hvst_total_rain
56,Ichihara,2012,280.86832000000004,281.07099425,0.39176754299999994,45368950.75,0.01779946756,291.282306,291.27928299999996,0.379306995,17439784.0,0.00421720174,295.4922605,295.4255365,0.3801664895,30641241.799999997,0.00905698221,298.6138575,298.92193499999996,0.3198455635,30551775.5,0.0086305421399999,291.412313,292.101746,0.405137907,10915710.4,0.0065513208399999
57,Ichihara,2013,281.91582425,282.1832365,0.39165996449999996,48388633.1,0.014255843489999899,290.83945800000004,290.901877,0.351312051,18381586.4,0.00215829779,296.2262955,296.218234,0.3611434995,30397653.9,0.00897305467,298.4322485,298.80129150000005,0.3230218644999999,31806054.900000002,0.00594208427,292.31091000000004,292.787273,0.397863019,8705009.1,0.0123491157
58,Ichihara,2014,281.56923025000003,281.85369775,0.38830797975,48419915.1,0.018519599720000002,291.34641999999997,291.331586,0.368527904,19098989.4,0.00397480607,296.4418035,296.4152385,0.377966606,33040898.799999997,0.0084919622,296.88963,297.194746,0.36236093150000004,28677775.5,0.0095083379,291.34028,291.68771200000003,0.399964286,9961992.4,0.00895257525
59,Ichihara,2015,281.8995545,282.14985925,0.39889687975,45898532.9,0.0168221384599999,292.380832,292.362545,0.344782055,18261752.6,0.00272653732,295.9645865,295.8582675,0.3895626,30359891.9,0.01467754844,297.2826665,297.64700949999997,0.3475835195,27474245.4,0.01507774199,290.955283,291.471448,0.377288401,11111126.7,0.00364539263
60,Ichihara,2016,282.6235925,282.870738,0.38990524075,44438966.8,0.01434226211,291.941739,291.989318,0.366238334,18023879.2,0.00434416183,296.140197,296.104432,0.384718416,31484299.799999997,0.01153413243,298.197531,298.26415399999996,0.39623702250000004,25222571.6,0.01716814523,292.072675,292.66785300000004,0.3919849649999999,9612809.1,0.00380448622
61,Ichihara,2017,281.62321175,281.930394,0.37838008375,51253653.1,0.012585307869999899,291.845937,291.843908,0.355876218,18027749.2,0.00402184565,296.4758885,296.4739755,0.34304117050000005,33712005.1,0.0062507806799999,297.2846065,297.4907965,0.38895605099999997,25042184.9,0.01371602259,290.608791,291.22522100000003,0.41277046,7779871.6,0.0128183915499999
62,Ichihara,2018,282.5438875,282.75660925,0.37735610225,50103025.9,0.01211820089,291.997751,291.983101,0.382719624,17556754.2,0.00653951772,297.29311200000006,297.2633755,0.36060312299999997,34287994.6,0.01046030809,298.1753135,298.47004200000003,0.3744986495,27973297.0,0.013471235509999901,291.971997,292.52579299999996,0.390163554,10059366.3,0.00208328261
63,Ichihara,2019,282.00200900000004,282.26726775,0.379500668,46664313.0,0.0132373310619999,291.581285,291.410766,0.36702435,18190403.2,0.00355535061,295.57122649999997,295.470867,0.3940554505,28105596.3,0.014637782490000001,298.950337,299.199316,0.3414712715,30442060.599999998,0.0075376487999999995,292.878422,293.343264,0.389192091,8887016.2,0.0117307837
64,Ichihara,2020,282.81457225,283.14149050000003,0.395553247,46779550.7,0.01748169391,291.79839499999997,291.761568,0.374765886,16061563.8,0.0037891276,296.521032,296.353223,0.3985352325,25439464.1,0.01683713245,299.0282465,299.357048,0.326083844,30469871.4,0.00565650182,290.695903,291.254931,0.399470961,8220521.0,0.00881476375
65,Ichihara,2021,283.18393675,283.45343249999996,0.37053348375,50925851.5,0.01218713718,292.103817,292.075385,0.365312816,15713004.0,0.0040004431899999,296.4236885,296.340057,0.37982065,31073160.6,0.015452800689999999,297.4668195,297.6413165,0.39000181449999993,24980957.9,0.01491706006,291.389129,291.997826,0.404225685,9762286.2,0.00763730756
66,Ichihara,2022,281.7894045,282.078577,0.38239213650000003,47317803.6,0.0157343296269998,291.215188,291.087348,0.396235286,15961464.1,0.00485023273,296.9098675,296.85340199999996,0.3800539255,33604226.3,0.0116949466499998,298.415106,298.6895965,0.3746499665,24655651.200000003,0.00707485398,290.921414,291.514313,0.397417484,7231620.3,0.002580414
67,Ichihara,2023,283.18993075000003,283.40715675,0.383395295,36801460.15,0.0075432085169999,291.263262,291.32185,0.387488057,11780550.7,0.00261855196,297.5113315,297.45826650000004,0.346706837,24977976.6,0.005087988010999999,299.969791,300.3260925,0.3098621535,22974767.0,0.00588494703,291.765801,292.393963,0.364955437,9084766.7,0.00259974164
71,Katori,1993,281.05617125,281.45776958333335,0.4505552033333333,50008262.25,0.0152598947166666,289.7761216666667,290.03120666666666,0.41266636,18566321.666666668,0.0024414826666666,294.0428033333333,294.1325058333333,0.4413095174999999,27005257.0,0.0148385040166665,296.1356108333333,296.3057416666667,0.4476324283333333,24278361.333333332,0.0117476194333333,289.79010666666665,290.20937166666664,0.4542717533333333,10052610.666666666,0.0052954623499999
72,Katori,1994,280.50287125,280.86426375,0.4457311225,50458045.083333336,0.014497872033333201,291.3172333333334,291.35854333333333,0.39981538,17346580.333333332,0.0036258585833333,296.71095583333334,296.93347166666666,0.36576790499999995,34270292.333333336,0.0046169093316666,298.8485725,299.5050616666667,0.3280683375,31566034.166666668,0.0099543749,292.24266166666666,292.6756266666667,0.4410543433333333,9244154.166666666,0.0032757386
73,Katori,1995,281.06725500000005,281.3634833333333,0.42193686166666666,50027395.16666667,0.0101828039833332,290.80996,290.9468716666667,0.4402245083333334,15979231.666666666,0.0064288309666666,295.57845833333334,295.56473500000004,0.44323082999999996,29222288.333333336,0.010816492016666599,298.00455,298.71392,0.27872661833333334,30971639.833333336,0.0089676197716666,291.60562,291.93317,0.4245471966666667,10746711.833333334,0.0028643443
74,Katori,1996,280.3011229166667,280.64866166666667,0.40339173,50525124.666666664,0.0093566467333332,289.64969666666667,289.9473316666667,0.3881555,18119619.0,0.0029315638833333,295.56186833333334,295.78365083333335,0.378947965,32414507.333333336,0.0115112231333333,295.86954249999997,296.3672358333333,0.36417534916666666,28167416.333333336,0.012617103766666601,290.19583166666666,290.4482033333333,0.451916955,10554745.166666666,0.0028467142666666
75,Katori,1997,281.586525,281.8798479166667,0.41594354,51609762.166666664,0.0103488812666665,291.15579499999996,291.36102999999997,0.4133471616666667,16842783.666666668,0.00417648885,295.83817999999997,296.01725666666664,0.4138050491666667,33262135.833333336,0.0082831029999999,297.01317666666665,297.48475,0.34955485583333334,28377666.5,0.005258682416666599,290.34110833333335,290.8505583333333,0.3776499233333333,12632995.666666666,0.00152834425
76,Katori,1998,281.75817166666667,282.03529041666667,0.45696480124999994,44937888.333333336,0.0181434587166664,292.38647,292.346805,0.45062653,14717868.5,0.00477833445,295.26995,295.3918591666667,0.4541912408333333,27950055.666666668,0.012651807233333201,297.5482166666667,297.81727083333334,0.453511715,25699957.5,0.011135545933333199,292.68811,293.130965,0.4599471083333333,10423399.5,0.0037957666666666
77,Katori,1999,281.35336541666663,281.60587666666663,0.4297085545833333,47939463.666666664,0.015445067259999699,291.49196,291.5577666666666,0.4284798483333333,17662040.666666668,0.0036044476,295.9710325,295.9982233333333,0.4256641849999999,32363979.166666664,0.0107788607666666,299.35562500000003,299.7465625,0.3076419933333333,31763460.166666668,0.0039093554333332,291.77722166666666,292.45647333333335,0.3365488233333333,10395160.666666666,0.00403781295
78,Katori,2000,281.15292791666667,281.55875249999997,0.42836660374999996,51281213.666666664,0.013311059566666601,291.1207083333333,291.3793733333333,0.4490510599999999,17809459.0,0.0056294464166666,296.32174166666664,296.4350566666667,0.4428508883333333,32575175.0,0.0141538879833333,298.2143316666667,298.652595,0.37292673833333334,30927274.166666664,0.0067386674333331995,291.15551666666664,291.68772,0.446239235,9175148.333333334,0.0041998791333333
79,Katori,2001,281.06990041666666,281.41425000000004,0.43219636749999996,49302865.0,0.0142687125999999,291.209875,291.25265833333333,0.4083603233333333,16772221.0,0.0034483176333333,297.1958875,297.41511833333334,0.35999869333333334,36464334.16666667,0.0049772939000000006,296.649345,297.18521583333336,0.36652055249999993,28232662.833333332,0.0100104617666665,291.235465,291.49399166666666,0.4542280066666666,10862315.333333334,0.008261531
80,Katori,2002,282.5270879166667,282.75956583333334,0.42018108499999995,49497556.5,0.011860213216666499,290.01069333333334,290.34496666666666,0.4102596633333333,16933444.5,0.0032772902999999,296.1428025,296.2549466666667,0.41148830166666667,32411881.166666664,0.0094970036999999,297.30053583333336,297.83524750000004,0.3930218525,29631254.5,0.012960044316666499,290.7659433333333,291.39571666666666,0.4498444383333333,10750666.5,0.0037187304333333
